County Name,State,State Abbreviation,County Code,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
RIVERSIDE,California,CA,6065,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,22,1738652,34886514
SACRAMENTO,California,CA,6067,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,111,1282126,34886514
SACRAMENTO,California,CA,6067,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,37,1282126,34886514
SAN BERNARDINO,California,CA,6071,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,40,1807195,34886514
SAN BERNARDINO,California,CA,6071,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,24,1807195,34886514
SAN DIEGO,California,CA,6073,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,222,2898292,34886514
SAN DIEGO,California,CA,6073,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,65,2898292,34886514
SAN FRANCISCO,California,CA,6075,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,91,785290,34886514
SAN FRANCISCO,California,CA,6075,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,23,785290,34886514
SAN JOAQUIN,California,CA,6077,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,45,600155,34886514
SAN LUIS OBISPO,California,CA,6079,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,253601,34886514
SAN MATEO,California,CA,6081,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,41,710525,34886514
SAN MATEO,California,CA,6081,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10,710525,34886514
SANTA BARBARA,California,CA,6083,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,32,406688,34886514
SANTA CLARA,California,CA,6085,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,55,1712448,34886514
SANTA CLARA,California,CA,6085,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,23,1712448,34886514
SANTA CRUZ,California,CA,6087,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,257636,34886514
SANTA CRUZ,California,CA,6087,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,11,257636,34886514
SHASTA,California,CA,6089,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,31,167436,34886514
SOLANO,California,CA,6095,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,400135,34886514
SONOMA,California,CA,6097,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,42,466170,34886514
STANISLAUS,California,CA,6099,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,67,467130,34886514
STANISLAUS,California,CA,6099,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,15,467130,34886514
TULARE,California,CA,6107,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,31,390262,34886514
VENTURA,California,CA,6111,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,73,774278,34886514
VENTURA,California,CA,6111,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,14,774278,34886514
ALAMEDA,California,CA,6001,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,113,1470325,35224801
ALAMEDA,California,CA,6001,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,19,1470325,35224801
BUTTE,California,CA,6007,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,31,209877,35224801
CONTRA COSTA,California,CA,6013,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,77,989001,35224801
CONTRA COSTA,California,CA,6013,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,15,989001,35224801
EL DORADO,California,CA,6017,2004,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13,166210,35224801
FRESNO,California,CA,6019,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,85,851458,35224801
HUMBOLDT,California,CA,6023,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,25,129748,35224801
IMPERIAL,California,CA,6025,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,155210,35224801
KERN,California,CA,6029,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,75,732828,35224801
KERN,California,CA,6029,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,15,732828,35224801
KINGS,California,CA,6031,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,138874,35224801
LOS ANGELES,California,CA,6037,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,542,9639059,35224801
LOS ANGELES,California,CA,6037,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,91,9639059,35224801
LOS ANGELES,California,CA,6037,2004,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,32,9639059,35224801
MADERA,California,CA,6039,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,134243,35224801
MARIN,California,CA,6041,2004,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,16,249349,35224801
MERCED,California,CA,6047,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,229026,35224801
MONTEREY,California,CA,6053,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,43,407076,35224801
ORANGE,California,CA,6059,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,161,2911878,35224801
ORANGE,California,CA,6059,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,62,2911878,35224801
ORANGE,California,CA,6059,2004,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19,2911878,35224801
PLACER,California,CA,6061,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,288362,35224801
RIVERSIDE,California,CA,6065,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,140,1803096,35224801
RIVERSIDE,California,CA,6065,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,25,1803096,35224801
SACRAMENTO,California,CA,6067,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,135,1301642,35224801
SACRAMENTO,California,CA,6067,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,29,1301642,35224801
SACRAMENTO,California,CA,6067,2004,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14,1301642,35224801
SAN BERNARDINO,California,CA,6071,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,35,1839767,35224801
SAN BERNARDINO,California,CA,6071,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,30,1839767,35224801
SAN BERNARDINO,California,CA,6071,2004,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,1839767,35224801
SAN DIEGO,California,CA,6073,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,225,2926443,35224801
SAN DIEGO,California,CA,6073,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,61,2926443,35224801
SAN FRANCISCO,California,CA,6075,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,74,788132,35224801
SAN FRANCISCO,California,CA,6075,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,18,788132,35224801
SAN JOAQUIN,California,CA,6077,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,51,612320,35224801
SAN JOAQUIN,California,CA,6077,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,12,612320,35224801
SAN LUIS OBISPO,California,CA,6079,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,255886,35224801
SAN MATEO,California,CA,6081,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,44,711667,35224801
SANTA BARBARA,California,CA,6083,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,409153,35224801
SANTA CLARA,California,CA,6085,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,87,1722337,35224801
SANTA CLARA,California,CA,6085,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,23,1722337,35224801
SANTA CRUZ,California,CA,6087,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,258310,35224801
SHASTA,California,CA,6089,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,35,168834,35224801
SOLANO,California,CA,6095,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,402015,35224801
SONOMA,California,CA,6097,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,48,468698,35224801
STANISLAUS,California,CA,6099,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,66,473890,35224801
STANISLAUS,California,CA,6099,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,10,473890,35224801
TULARE,California,CA,6107,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,39,397679,35224801
TUOLUMNE,California,CA,6109,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,54862,35224801
VENTURA,California,CA,6111,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,43,781294,35224801
VENTURA,California,CA,6111,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,12,781294,35224801
ALAMEDA,California,CA,6001,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,132,1476980,35563088
ALAMEDA,California,CA,6001,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,28,1476980,35563088
BUTTE,California,CA,6007,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,25,211565,35563088
CONTRA COSTA,California,CA,6013,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,90,999035,35563088
CONTRA COSTA,California,CA,6013,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,13,999035,35563088
EL DORADO,California,CA,6017,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,168684,35563088
FRESNO,California,CA,6019,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,73,864631,35563088
FRESNO,California,CA,6019,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,10,864631,35563088
HUMBOLDT,California,CA,6023,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,36,130558,35563088
IMPERIAL,California,CA,6025,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,158429,35563088
KERN,California,CA,6029,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,84,750627,35563088
LAKE,California,CA,6033,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,61496,35563088
LOS ANGELES,California,CA,6037,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,523,9668995,35563088
LOS ANGELES,California,CA,6037,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,98,9668995,35563088
LOS ANGELES,California,CA,6037,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,18,9668995,35563088
MADERA,California,CA,6039,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,137009,35563088
MARIN,California,CA,6041,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,16,249861,35563088
MERCED,California,CA,6047,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,233488,35563088
MONTEREY,California,CA,6053,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,40,408407,35563088
NEVADA,California,CA,6057,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,95400,35563088
ORANGE,California,CA,6059,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,174,2928277,35563088
ORANGE,California,CA,6059,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,38,2928277,35563088
ORANGE,California,CA,6059,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,27,2928277,35563088
PLACER,California,CA,6061,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,28,298385,35563088
RIVERSIDE,California,CA,6065,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,141,1867540,35563088
RIVERSIDE,California,CA,6065,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,26,1867540,35563088
SACRAMENTO,California,CA,6067,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,161,1321158,35563088
SACRAMENTO,California,CA,6067,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,35,1321158,35563088
SACRAMENTO,California,CA,6067,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,29,1321158,35563088
SAN BERNARDINO,California,CA,6071,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,43,1872339,35563088
SAN BERNARDINO,California,CA,6071,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,28,1872339,35563088
SAN BERNARDINO,California,CA,6071,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19,1872339,35563088
SAN DIEGO,California,CA,6073,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,228,2954594,35563088
SAN DIEGO,California,CA,6073,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,48,2954594,35563088
SAN FRANCISCO,California,CA,6075,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,106,790974,35563088
SAN FRANCISCO,California,CA,6075,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,17,790974,35563088
SAN JOAQUIN,California,CA,6077,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,44,624485,35563088
SAN LUIS OBISPO,California,CA,6079,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,22,258171,35563088
SAN MATEO,California,CA,6081,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,37,712809,35563088
SAN MATEO,California,CA,6081,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,16,712809,35563088
SANTA BARBARA,California,CA,6083,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,30,411618,35563088
SANTA CLARA,California,CA,6085,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,59,1732226,35563088
SANTA CLARA,California,CA,6085,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,18,1732226,35563088
SANTA CLARA,California,CA,6085,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,1732226,35563088
SANTA CRUZ,California,CA,6087,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,258984,35563088
SHASTA,California,CA,6089,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,33,170232,35563088
SOLANO,California,CA,6095,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,30,403895,35563088
SONOMA,California,CA,6097,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,51,471226,35563088
STANISLAUS,California,CA,6099,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,67,480650,35563088
TULARE,California,CA,6107,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,33,405096,35563088
TUOLUMNE,California,CA,6109,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,54947,35563088
VENTURA,California,CA,6111,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,51,788310,35563088
VENTURA,California,CA,6111,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,16,788310,35563088
YOLO,California,CA,6113,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,184760,35563088
ALAMEDA,California,CA,6001,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,141,1483635,35901375
ALAMEDA,California,CA,6001,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,22,1483635,35901375
BUTTE,California,CA,6007,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,46,213253,35901375
BUTTE,California,CA,6007,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,16,213253,35901375
CONTRA COSTA,California,CA,6013,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,58,1009069,35901375
CONTRA COSTA,California,CA,6013,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,16,1009069,35901375
EL DORADO,California,CA,6017,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,25,171158,35901375
FRESNO,California,CA,6019,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,87,877804,35901375
HUMBOLDT,California,CA,6023,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,36,131368,35901375
IMPERIAL,California,CA,6025,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,161648,35901375
KERN,California,CA,6029,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,108,768426,35901375
LAKE,California,CA,6033,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,62129,35901375
LOS ANGELES,California,CA,6037,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,563,9698931,35901375
LOS ANGELES,California,CA,6037,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,98,9698931,35901375
LOS ANGELES,California,CA,6037,2006,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,26,9698931,35901375
MADERA,California,CA,6039,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,139775,35901375
MARIN,California,CA,6041,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,10,250373,35901375
MARIN,California,CA,6041,2006,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14,250373,35901375
MENDOCINO,California,CA,6045,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,87213,35901375
MONTEREY,California,CA,6053,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,41,409738,35901375
NEVADA,California,CA,6057,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,96069,35901375
ORANGE,California,CA,6059,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,180,2944676,35901375
ORANGE,California,CA,6059,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,59,2944676,35901375
PLACER,California,CA,6061,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,36,308408,35901375
RIVERSIDE,California,CA,6065,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,147,1931984,35901375
RIVERSIDE,California,CA,6065,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,27,1931984,35901375
SACRAMENTO,California,CA,6067,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,163,1340674,35901375
SACRAMENTO,California,CA,6067,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,40,1340674,35901375
SACRAMENTO,California,CA,6067,2006,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,23,1340674,35901375
SAN BERNARDINO,California,CA,6071,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,41,1904911,35901375
SAN BERNARDINO,California,CA,6071,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,43,1904911,35901375
SAN BERNARDINO,California,CA,6071,2006,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13,1904911,35901375
SAN DIEGO,California,CA,6073,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,245,2982745,35901375
SAN DIEGO,California,CA,6073,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,58,2982745,35901375
SAN FRANCISCO,California,CA,6075,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,127,793816,35901375
SAN FRANCISCO,California,CA,6075,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,22,793816,35901375
SAN JOAQUIN,California,CA,6077,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,72,636650,35901375
SAN LUIS OBISPO,California,CA,6079,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,260456,35901375
SAN MATEO,California,CA,6081,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,42,713951,35901375
SANTA BARBARA,California,CA,6083,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,414083,35901375
SANTA CLARA,California,CA,6085,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,73,1742115,35901375
SANTA CLARA,California,CA,6085,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,17,1742115,35901375
SANTA CRUZ,California,CA,6087,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,30,259658,35901375
SHASTA,California,CA,6089,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,33,171630,35901375
SOLANO,California,CA,6095,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,28,405775,35901375
SONOMA,California,CA,6097,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,37,473754,35901375
STANISLAUS,California,CA,6099,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,77,487410,35901375
TULARE,California,CA,6107,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,47,412513,35901375
TUOLUMNE,California,CA,6109,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,55032,35901375
VENTURA,California,CA,6111,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,70,795326,35901375
VENTURA,California,CA,6111,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,22,795326,35901375
ALAMEDA,California,CA,6001,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,163,1490290,36239662
ALAMEDA,California,CA,6001,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,22,1490290,36239662
BUTTE,California,CA,6007,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,58,214941,36239662
CONTRA COSTA,California,CA,6013,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,77,1019103,36239662
CONTRA COSTA,California,CA,6013,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,23,1019103,36239662
EL DORADO,California,CA,6017,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,33,173632,36239662
FRESNO,California,CA,6019,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,70,890977,36239662
FRESNO,California,CA,6019,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,20,890977,36239662
HUMBOLDT,California,CA,6023,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,39,132178,36239662
IMPERIAL,California,CA,6025,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,164867,36239662
KERN,California,CA,6029,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,109,786225,36239662
KERN,California,CA,6029,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,10,786225,36239662
KINGS,California,CA,6031,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,145927,36239662
LAKE,California,CA,6033,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,62762,36239662
LOS ANGELES,California,CA,6037,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,636,9728867,36239662
LOS ANGELES,California,CA,6037,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,89,9728867,36239662
LOS ANGELES,California,CA,6037,2007,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,27,9728867,36239662
MARIN,California,CA,6041,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,250885,36239662
MARIN,California,CA,6041,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,10,250885,36239662
MARIN,California,CA,6041,2007,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,20,250885,36239662
MENDOCINO,California,CA,6045,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,87373,36239662
MERCED,California,CA,6047,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,242412,36239662
MONTEREY,California,CA,6053,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,411069,36239662
NAPA,California,CA,6055,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,132905,36239662
NEVADA,California,CA,6057,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,96738,36239662
ORANGE,California,CA,6059,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,216,2961075,36239662
ORANGE,California,CA,6059,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,56,2961075,36239662
ORANGE,California,CA,6059,2007,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,15,2961075,36239662
PLACER,California,CA,6061,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,40,318431,36239662
PLACER,California,CA,6061,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,11,318431,36239662
RIVERSIDE,California,CA,6065,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,178,1996428,36239662
RIVERSIDE,California,CA,6065,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,36,1996428,36239662
SACRAMENTO,California,CA,6067,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,159,1360190,36239662
SACRAMENTO,California,CA,6067,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,37,1360190,36239662
SACRAMENTO,California,CA,6067,2007,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,16,1360190,36239662
SAN BERNARDINO,California,CA,6071,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,46,1937483,36239662
SAN BERNARDINO,California,CA,6071,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,17,1937483,36239662
SAN DIEGO,California,CA,6073,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,269,3010896,36239662
SAN DIEGO,California,CA,6073,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,82,3010896,36239662
SAN FRANCISCO,California,CA,6075,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,153,796658,36239662
SAN FRANCISCO,California,CA,6075,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,30,796658,36239662
SAN JOAQUIN,California,CA,6077,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,85,648815,36239662
SAN JOAQUIN,California,CA,6077,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,10,648815,36239662
SAN LUIS OBISPO,California,CA,6079,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,262741,36239662
