Textbox1;Textbox77;fips;name;ruc_code;estBase040190;April2000;ESTIMATESBASE2010;current_year;percentChange
Pop. 2018;Change 2010-18;12057;Hillsborough County;1;834,054;998,994;1,229,178;1,436,888;16.90%
Pop. 2018;Change 2010-18;12059;Holmes County;6;15,778;18,564;19,924;19,477;-2.20%
Pop. 2018;Change 2010-18;12061;Indian River County;3;90,208;112,877;138,028;157,413;14.00%
Pop. 2018;Change 2010-18;12063;Jackson County;6;41,375;46,781;49,761;48,305;-2.90%
Pop. 2018;Change 2010-18;12065;Jefferson County;2;11,296;12,876;14,759;14,288;-3.20%
Pop. 2018;Change 2010-18;12067;Lafayette County;9;5,578;7,019;8,870;8,732;-1.60%
Pop. 2018;Change 2010-18;12069;Lake County;1;152,104;210,418;297,052;356,495;20.00%
Pop. 2018;Change 2010-18;12071;Lee County;2;335,113;440,910;618,754;754,610;22.00%
Pop. 2018;Change 2010-18;12073;Leon County;2;192,493;239,509;275,484;292,502;6.20%
Pop. 2018;Change 2010-18;12075;Levy County;6;25,912;34,448;40,801;40,770;-0.10%
Pop. 2018;Change 2010-18;12077;Liberty County;8;5,569;7,011;8,365;8,457;1.10%
Pop. 2018;Change 2010-18;12079;Madison County;6;16,569;18,720;19,230;18,529;-3.60%
Pop. 2018;Change 2010-18;12081;Manatee County;2;211,707;263,996;322,879;394,855;22.30%
Pop. 2018;Change 2010-18;12083;Marion County;2;194,835;258,873;331,299;359,977;8.70%
Pop. 2018;Change 2010-18;12085;Martin County;2;100,900;126,777;146,852;160,912;9.60%
Pop. 2018;Change 2010-18;12086;Miami-Dade County;1;1,937,194;2,253,793;2,498,013;2,761,581;10.60%
Pop. 2018;Change 2010-18;12087;Monroe County;4;78,024;79,602;73,090;75,027;2.70%
Pop. 2018;Change 2010-18;12089;Nassau County;1;43,941;57,645;73,310;85,832;17.10%
Pop. 2018;Change 2010-18;12091;Okaloosa County;3;143,777;170,520;180,825;207,269;14.60%
Pop. 2018;Change 2010-18;12093;Okeechobee County;4;29,627;35,869;39,996;41,537;3.90%
Pop. 2018;Change 2010-18;12095;Orange County;1;677,491;896,123;1,145,954;1,380,645;20.50%
Pop. 2018;Change 2010-18;12097;Osceola County;1;107,728;172,520;268,683;367,990;37.00%
Pop. 2018;Change 2010-18;12099;Palm Beach County;1;863,503;1,131,189;1,320,135;1,485,941;12.60%
Pop. 2018;Change 2010-18;12101;Pasco County;1;281,131;344,749;464,703;539,630;16.10%
Pop. 2018;Change 2010-18;12103;Pinellas County;1;851,659;921,500;916,804;975,280;6.40%
Pop. 2018;Change 2010-18;12105;Polk County;2;405,382;483,888;602,098;708,009;17.60%
Pop. 2018;Change 2010-18;12107;Putnam County;4;65,070;70,418;74,368;74,163;-0.30%
Pop. 2018;Change 2010-18;12109;St. Johns County;1;83,829;123,237;190,034;254,261;33.80%
Pop. 2018;Change 2010-18;12111;St. Lucie County;2;150,171;192,679;277,255;321,128;15.80%
Pop. 2018;Change 2010-18;12113;Santa Rosa County;2;81,961;117,752;151,371;179,349;18.50%
Pop. 2018;Change 2010-18;12115;Sarasota County;2;277,776;326,002;379,435;426,718;12.50%
Pop. 2018;Change 2010-18;12117;Seminole County;1;287,521;365,448;422,713;467,832;10.70%
Pop. 2018;Change 2010-18;12119;Sumter County;3;31,577;53,337;93,420;128,754;37.80%
Pop. 2018;Change 2010-18;12121;Suwannee County;6;26,780;34,881;41,555;44,191;6.30%
Pop. 2018;Change 2010-18;12123;Taylor County;6;17,111;19,253;22,571;21,623;-4.20%
Pop. 2018;Change 2010-18;12125;Union County;6;10,252;13,428;15,535;14,940;-3.80%
Pop. 2018;Change 2010-18;12127;Volusia County;2;370,737;443,385;494,596;547,538;10.70%
Pop. 2018;Change 2010-18;12129;Wakulla County;2;14,202;22,857;30,783;32,461;5.50%
Pop. 2018;Change 2010-18;12131;Walton County;3;27,759;40,561;55,043;71,375;29.70%
Pop. 2018;Change 2010-18;12133;Washington County;6;16,919;20,975;24,896;24,880;-0.10%
