FIPS*,County name,RUC code,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2018,Change 2010-18,
28121,Rankin County,2,"87,161","115,403","142,054","153,902",8.3%,
28123,Scott County,6,"24,137","28,455","28,260","28,287",0.1%,
28125,Sharkey County,8,"7,066","6,576","4,916","4,377",-11.0%,
28127,Simpson County,2,"23,953","27,634","27,498","26,758",-2.7%,
28129,Smith County,8,"14,798","16,163","16,491","16,002",-3.0%,
28131,Stone County,6,"10,750","13,592","17,788","18,717",5.2%,
28133,Sunflower County,7,"35,129","34,382","29,383","25,735",-12.4%,
28135,Tallahatchie County,7,"15,210","14,896","15,385","13,987",-9.1%,
28137,Tate County,1,"21,432","25,386","28,878","28,759",-0.4%,
28139,Tippah County,6,"19,523","20,890","22,232","21,995",-1.1%,
28141,Tishomingo County,8,"17,683","19,155","19,601","19,454",-0.7%,
28143,Tunica County,1,"8,164","9,240","10,778","9,944",-7.7%,
28145,Union County,6,"22,085","25,344","27,134","28,606",5.4%,
28147,Walthall County,9,"14,352","15,161","15,447","14,465",-6.4%,
28149,Warren County,4,"47,880","49,668","48,771","46,176",-5.3%,
28151,Washington County,5,"67,935","63,035","51,135","45,063",-11.9%,
28153,Wayne County,7,"19,517","21,372","20,747","20,298",-2.2%,
28155,Webster County,9,"10,222","10,284","10,249","9,788",-4.5%,
28157,Wilkinson County,8,"9,678","10,337","9,878","8,792",-11.0%,
28159,Winston County,7,"19,433","20,157","19,198","18,165",-5.4%,
28161,Yalobusha County,7,"12,033","13,052","12,678","12,392",-2.3%,
28163,Yazoo County,2,"25,506","28,144","28,065","28,248",0.7%,
